Day or Night?_2013,State,Date_2013,Race_2013,Vehicle Type_2013,From Where_2013,To Where_2013,Trip distance_2013,Alcohol Today_2013,Age Range_2013,Zipcode_2013,Education Level_2013,Employed_2013,Blood Alcohol Content_2013
3,TX,6/29/2013 3:09,2,Car,"Bar, tavern, club",Own home,10-Jun,Yes,24.0,75287.0,Some college - no degree,Employed Full-time,#NULL!
4,TX,6/29/2013 22:22,2,SUV/ Crossover,Someone else's home,Store or gas station,20-Nov,Yes,27.0,75252.0,Some college - no degree,Employed Full-time,0
4,TX,6/29/2013 22:44,1,Car,Work,Own home,0-5,No,19.0,75287.0,Some college - no degree,Employed Full-time,0
4,TX,6/29/2013 23:07,1,Pickup,Someone else's home,Own home,20-Nov,Yes,25.0,75287.0,Some college - no degree,Employed Full-time,0
4,TX,6/29/2013 23:35,1,Car,Someone else's home,Own home,0-5,No,56.0,75093.0,Bachelor's degree,Employed Full-time,0
4,TX,6/30/2013 1:10,1,SUV/ Crossover,Someone else's home,Own home,More than 20,Yes,51.0,75149.0,Associate's degree,Employed Full-time,0
5,TX,6/30/2013 1:34,2,Car,Work,Own home,10-Jun,No,26.0,75231.0,Associate's degree,Employed Full-time,0
5,TX,6/30/2013 2:03,2,Car,Work,Own home,20-Nov,No,56.0,75238.0,Some college - no degree,Employed Part-time,0
5,TX,6/30/2013 2:33,1,Car,Own home,Own home,More than 20,Yes,53.0,75002.0,High school graduate,Retired,0.028
4,TX,10/19/2013 22:14,#NULL!,Car,,,,,,,,,#NULL!
4,TX,10/19/2013 22:23,#NULL!,Car,,,,,,,,,#NULL!
4,TX,10/19/2013 22:54,8,Pickup,Restaurant/eating place,Own home,20-Nov,No,26.0,75006.0,High school graduate,Employed Full-time,0
4,TX,10/19/2013 23:07,8,Car,Other,Other,More than 20,,23.0,75006.0,Associate's degree,Employed Part-time,#NULL!
4,TX,10/19/2013 23:30,3,SUV/ Crossover,Other,Own home,More than 20,,38.0,75006.0,High school graduate,Employed Full-time,#NULL!
4,TX,10/20/2013 0:02,8,Car,Other,Other,20-Nov,,44.0,75006.0,None - 8th grade,Employed Full-time,0
5,TX,10/20/2013 1:29,#NULL!,Car,,,,,,,,,#NULL!
5,TX,10/20/2013 1:47,8,SUV/ Crossover,Other,Other,More than 20,,27.0,75243.0,None - 8th grade,Homemaker,#NULL!
5,TX,10/20/2013 1:54,#NULL!,Car,,,,,,,,,#NULL!
5,TX,10/20/2013 2:13,3,Car,Other,Work,0-5,No,38.0,76137.0,Associate's degree,Employed Full-time,#NULL!
5,TX,10/20/2013 2:18,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,TX,10/20/2013 2:27,#NULL!,Car,,,,,,,,,#NULL!
5,TX,10/20/2013 2:45,#NULL!,Car,,,,,,,,,#NULL!
5,TX,10/20/2013 2:52,#NULL!,Car,,,,,,,,,#NULL!
5,TX,10/20/2013 3:16,3,Car,Own home,Own home,20-Nov,No,34.0,75014.0,High school graduate,Employed Full-time,#NULL!
1,AL,6/7/2013 14:53,1,SUV/ Crossover,Work,Own home,10-Jun,No,32.0,35054.0,Some college - no degree,Employed Full-time,#NULL!
1,AL,6/7/2013 14:56,#NULL!,,,,,,,,,,#NULL!
1,AL,6/7/2013 15:28,1,Pickup,Own home,Own home,More than 20,,71.0,35054.0,Bachelor's degree,Retired,0
1,AL,6/7/2013 15:38,1,Car,Restaurant/eating place,Work,More than 20,No,23.0,35178.0,High school graduate,Employed Full-time,#NULL!
1,AL,6/7/2013 15:45,#NULL!,,,,,,,,,,#NULL!
1,AL,6/7/2013 15:55,#NULL!,,,,,,,,,,#NULL!
1,AL,6/7/2013 16:03,1,Car,Restaurant/eating place,Own home,More than 20,,48.0,35151.0,Some college - no degree,Employed Full-time,0
1,AL,6/7/2013 16:14,1,Car,Own home,Work,10-Jun,No,58.0,35128.0,High school graduate,Employed Part-time,#NULL!
1,AL,6/7/2013 18:15,1,Unknown,Sport or rec facility/park,Store or gas station,20-Nov,No,49.0,35124.0,Professional degree,Employed Part-time,#NULL!
2,AL,6/7/2013 22:28,1,Car,"Bar, tavern, club",Own home,20-Nov,No,52.0,35160.0,Associate's degree,Unemployed,#NULL!
2,AL,6/7/2013 22:41,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,AL,6/7/2013 22:55,1,Van,Store or gas station,Own home,More than 20,,16.0,35160.0,9th - 11th grade,Employed Full-time,#NULL!
2,AL,6/7/2013 23:03,1,Car,Store or gas station,Own home,20-Nov,No,43.0,35160.0,Some college - no degree,Employed Full-time,#NULL!
2,AL,6/7/2013 23:23,1,SUV/ Crossover,Store or gas station,Own home,10-Jun,No,24.0,35160.0,Bachelor's degree,Employed Full-time,#NULL!
2,AL,6/7/2013 23:34,2,Car,Other,Own home,0-5,,48.0,35160.0,High school graduate,Employed Full-time,#NULL!
2,AL,6/7/2013 23:53,1,Car,Store or gas station,Own home,10-Jun,No,22.0,35131.0,Associate's degree,Employed Part-time,#NULL!
2,AL,6/7/2013 22:07,#NULL!,,,,,,,,,,#NULL!
3,AL,6/8/2013 1:42,1,Car,"Bar, tavern, club",Own home,More than 20,No,24.0,35953.0,Bachelor's degree,Employed Part-time,0
3,AL,6/8/2013 1:53,#NULL!,,,,,,,,,,#NULL!
3,AL,6/8/2013 2:04,#NULL!,Car,,,,,,,,,#NULL!
3,AL,6/8/2013 2:12,#NULL!,Car,,,,,,,,,#NULL!
3,AL,6/8/2013 2:26,7,SUV/ Crossover,"Bar, tavern, club",Own home,More than 20,,46.0,25125.0,High school graduate,Employed Full-time,#NULL!
3,AL,6/8/2013 2:46,2,Car,"Bar, tavern, club",Own home,More than 20,,37.0,35953.0,High school graduate,On Disability,0
3,AL,6/8/2013 2:55,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,AL,6/8/2013 4:52,#NULL!,,,,,,,,,,#NULL!
4,AL,6/8/2013 22:33,1,Pickup,"Bar, tavern, club",Own home,More than 20,,47.0,35173.0,Some college - no degree,Employed Full-time,0
4,AL,6/8/2013 23:09,1,SUV/ Crossover,Own home,Someone else's home,20-Nov,,57.0,35120.0,Associate's degree,Employed Full-time,0
4,AL,6/8/2013 23:25,1,SUV/ Crossover,Someone else's home,Own home,More than 20,,21.0,35125.0,High school graduate,Employed Full-time,0
4,AL,6/8/2013 23:40,1,Car,Work,Own home,More than 20,,17.0,35004.0,High school graduate,Employed Part-time,#NULL!
4,AL,6/8/2013 22:11,#NULL!,,,,,,,,,,#NULL!
5,AL,6/9/2013 1:58,1,Car,Someone else's home,Own home,More than 20,No,27.0,35094.0,Some college - no degree,Employed Full-time,0
5,AL,6/9/2013 2:09,#NULL!,,,,,,,,,,#NULL!
5,AL,6/9/2013 2:19,#NULL!,,,,,,,,,,#NULL!
5,AL,6/9/2013 2:22,2,SUV/ Crossover,Restaurant/eating place,Own home,More than 20,,22.0,35120.0,Some college - no degree,Employed Full-time,0
5,AL,6/9/2013 2:41,2,SUV/ Crossover,Someone else's home,Own home,0-5,,58.0,35112.0,High school graduate,On Disability,#NULL!
5,AL,6/9/2013 2:53,#NULL!,,,,,,,,,,#NULL!
5,AL,6/9/2013 3:09,1,Car,Someone else's home,Own home,More than 20,No,25.0,35004.0,Associate's degree,Unemployed,#NULL!
1,MI,10/4/2013 9:41,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
1,MI,10/4/2013 9:58,6,Car,Own home,Work,10-Jun,No,34.0,48509.0,Bachelor's degree,On Disability,0
1,MI,10/4/2013 10:22,1,Minivan,Own home,Store or gas station,0-5,No,74.0,48420.0,Some college - no degree,Retired,0
1,MI,10/4/2013 10:41,1,Car,Store or gas station,Own home,10-Jun,No,61.0,48420.0,High school graduate,Retired,#NULL!
1,MI,10/4/2013 10:58,1,SUV/ Crossover,Work,Work,More than 20,No,39.0,48420.0,Associate's degree,Employed Full-time,0
1,MI,10/4/2013 11:16,1,Car,Other,Store or gas station,More than 20,,71.0,48446.0,High school graduate,Homemaker,#NULL!
1,MI,10/4/2013 13:20,1,Car,Other,Own home,More than 20,No,63.0,48415.0,High school graduate,Homemaker,#NULL!
2,MI,10/4/2013 22:19,2,Minivan,Sport or rec facility/park,Restaurant/eating place,0-5,,45.0,48458.0,Associate's degree,Employed Full-time,0
2,MI,10/4/2013 22:41,1,Car,Other,Own home,More than 20,No,54.0,48458.0,Some college - no degree,Employed Part-time,0
2,MI,10/4/2013 23:06,2,Car,School/church,School/church,10-Jun,,61.0,48458.0,High school graduate,Employed Full-time,0
2,MI,10/4/2013 23:20,1,Car,Own home,Work,10-Jun,,26.0,48458.0,Some college - no degree,Employed Part-time,0
2,MI,10/4/2013 23:42,1,Car,Work,Own home,20-Nov,No,26.0,48458.0,Bachelor's degree,Employed Full-time,0
2,MI,10/5/2013 0:13,1,Car,Work,Own home,More than 20,No,33.0,48458.0,Some college - no degree,Employed Full-time,0
5,MI,10/6/2013 1:21,1,Pickup,Restaurant/eating place,Own home,10-Jun,No,54.0,48509.0,High school graduate,On Disability,#NULL!
5,MI,10/6/2013 1:46,#NULL!,Minivan,,,,,,,,,#NULL!
1,NC,9/13/2013 13:52,1,Car,Work,Store or gas station,10-Jun,No,29.0,27516.0,Doctoral degree,Employed Full-time,0
1,NC,9/13/2013 14:04,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
1,NC,9/13/2013 14:24,1,Car,Work,School/church,20-Nov,No,36.0,27516.0,Master's degree,Employed Part-time,#NULL!
1,NC,9/13/2013 14:38,1,Car,Own home,Store or gas station,More than 20,No,29.0,27516.0,Professional degree,Employed Full-time,#NULL!
1,NC,9/13/2013 14:55,1,Car,Store or gas station,Store or gas station,10-Jun,No,85.0,27516.0,Master's degree,Retired,#NULL!
1,NC,9/13/2013 15:13,2,SUV/ Crossover,Work,Own home,20-Nov,No,25.0,27516.0,Bachelor's degree,Employed Full-time,0
1,NC,9/13/2013 15:32,1,Car,Someone else's home,Sport or rec facility/park,10-Jun,No,24.0,27713.0,Some college - no degree,Employed Full-time,#NULL!
2,NC,9/13/2013 22:18,1,SUV/ Crossover,School/church,Own home,10-Jun,No,55.0,27514.0,Doctoral degree,Unemployed,#NULL!
2,NC,9/13/2013 22:27,1,Pickup,Restaurant/eating place,Own home,20-Nov,No,30.0,27514.0,Bachelor's degree,Employed Full-time,#NULL!
2,NC,9/13/2013 22:50,7,Minivan,Own home,Restaurant/eating place,10-Jun,No,40.0,27516.0,Bachelor's degree,Employed Full-time,#NULL!
2,NC,9/13/2013 22:58,#NULL!,Car,,,,,,,,,#NULL!
2,NC,9/13/2013 23:10,2,SUV/ Crossover,Work,Own home,0-5,,35.0,27510.0,High school graduate,Employed Full-time,#NULL!
2,NC,9/13/2013 23:17,#NULL!,Minivan,,,,,,,,,#NULL!
2,NC,9/13/2013 23:38,6,Car,Someone else's home,Store or gas station,0-5,No,22.0,27278.0,Some college - no degree,Employed Part-time,0
2,NC,9/13/2013 23:46,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
2,NC,9/13/2013 23:56,#NULL!,Car,,,,,,,,,#NULL!
2,NC,9/14/2013 0:56,2,Pickup,Someone else's home,Own home,0-5,,51.0,27514.0,Associate's degree,Employed Full-time,0
3,NC,9/14/2013 1:08,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 1:13,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 1:19,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 1:35,2,Car,Own home,Someone else's home,More than 20,,21.0,27278.0,Associate's degree,Employed Part-time,#NULL!
3,NC,9/14/2013 1:41,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 1:49,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 1:54,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 2:06,1,SUV/ Crossover,"Bar, tavern, club",Someone else's home,0-5,No,36.0,27510.0,Bachelor's degree,Employed Full-time,#NULL!
3,NC,9/14/2013 2:20,7,Car,"Bar, tavern, club",Own home,10-Jun,,20.0,27517.0,Associate's degree,Employed Part-time,0
3,NC,9/14/2013 2:33,2,Car,Work,Own home,20-Nov,No,38.0,27704.0,Some college - no degree,Employed Full-time,#NULL!
3,NC,9/14/2013 2:37,#NULL!,Car,,,,,,,,,#NULL!
3,NC,9/14/2013 3:07,2,Car,"Bar, tavern, club",Own home,More than 20,No,24.0,27707.0,Some college - no degree,Employed Full-time,0
4,NC,9/14/2013 22:26,2,SUV/ Crossover,Restaurant/eating place,Someone else's home,10-Jun,No,27.0,27514.0,Bachelor's degree,Employed Full-time,0
4,NC,9/14/2013 22:50,2,SUV/ Crossover,Someone else's home,Own home,20-Nov,,46.0,27514.0,Bachelor's degree,Employed Full-time,0
4,NC,9/14/2013 23:02,1,SUV/ Crossover,School/church,Own home,0-5,No,23.0,27514.0,Professional degree,Unemployed,0
4,NC,9/14/2013 23:21,3,Car,School/church,Own home,More than 20,No,22.0,27514.0,Bachelor's degree,Unemployed,0
4,NC,9/14/2013 23:33,#NULL!,Car,,,,,,,,,#NULL!
4,NC,9/14/2013 23:55,1,Car,Work,Own home,0-5,No,47.0,27514.0,Some college - no degree,Employed Full-time,0
5,NC,9/15/2013 1:24,1,Car,Own home,Someone else's home,0-5,Yes,24.0,27516.0,Bachelor's degree,Employed Full-time,0.026
5,NC,9/15/2013 1:35,#NULL!,Car,,,,,,,,,#NULL!
5,NC,9/15/2013 1:54,1,Car,Work,Own home,10-Jun,No,55.0,27514.0,Bachelor's degree,Employed Full-time,0
5,NC,9/15/2013 2:24,1,Car,Someone else's home,Own home,10-Jun,Yes,21.0,27514.0,Some college - no degree,Employed Full-time,0.028
5,NC,9/15/2013 2:43,1,Car,"Bar, tavern, club",Own home,More than 20,Yes,21.0,27258.0,Some college - no degree,Unemployed,#NULL!
5,NC,9/15/2013 2:53,#NULL!,,,,,,,,,,#NULL!
5,NC,9/15/2013 3:09,1,Car,"Bar, tavern, club",Own home,0-5,Yes,22.0,27516.0,Bachelor's degree,Employed Full-time,0.149
1,NC,10/11/2013 9:41,1,Pickup,Own home,Other,10-Jun,,46.0,28150.0,Bachelor's degree,Employed Full-time,#NULL!
1,NC,10/11/2013 10:04,1,Pickup,Own home,Work,20-Nov,,74.0,81050.0,High school graduate,Employed Part-time,0
1,NC,10/11/2013 10:18,1,Car,Work,Other,20-Nov,No,31.0,28150.0,9th - 11th grade,Employed Part-time,#NULL!
1,NC,10/11/2013 10:24,#NULL!,Pickup,,,,,,,,,#NULL!
1,NC,10/11/2013 10:35,1,Car,Own home,Someone else's home,20-Nov,,62.0,28018.0,High school graduate,Retired,0
1,NC,10/11/2013 10:45,#NULL!,,,,,,,,,,#NULL!
1,NC,10/11/2013 10:55,#NULL!,,,,,,,,,,#NULL!
1,NC,10/11/2013 11:03,1,Pickup,Own home,Store or gas station,0-5,,46.0,28090.0,Some college - no degree,Employed Full-time,0
1,NC,10/11/2013 11:17,1,Car,Other,Own home,20-Nov,,66.0,28136.0,Bachelor's degree,Retired,0
1,NC,10/11/2013 11:25,#NULL!,Car,,,,,,,,,#NULL!
1,NC,10/11/2013 11:31,#NULL!,Car,,,,,,,,,#NULL!
2,NC,10/11/2013 22:15,2,Car,School/church,Restaurant/eating place,10-Jun,No,46.0,74132.0,Master's degree,Employed Full-time,#NULL!
2,NC,10/11/2013 22:38,1,Car,Other,Own home,More than 20,,68.0,28152.0,None - 8th grade,Unemployed,0
2,NC,10/11/2013 22:53,1,SUV/ Crossover,Restaurant/eating place,Own home,20-Nov,,16.0,28114.0,9th - 11th grade,Unemployed,#NULL!
2,NC,10/11/2013 22:59,#NULL!,Car,,,,,,,,,#NULL!
2,NC,10/11/2013 23:05,#NULL!,Car,,,,,,,,,#NULL!
2,NC,10/11/2013 23:18,1,Car,School/church,Restaurant/eating place,10-Jun,,19.0,29036.0,Some college - no degree,Employed Part-time,#NULL!
2,NC,10/11/2013 23:38,1,Car,Restaurant/eating place,Restaurant/eating place,10-Jun,,58.0,28089.0,Associate's degree,Employed Full-time,0
2,NC,10/11/2013 23:55,#NULL!,Car,,,,,,,,,#NULL!
3,NC,10/12/2013 1:22,1,Car,Own home,Other,More than 20,No,22.0,28262.0,Associate's degree,Employed Full-time,0
3,NC,10/12/2013 1:37,1,SUV/ Crossover,Other,Own home,More than 20,No,19.0,28716.0,Some college - no degree,Employed Part-time,#NULL!
3,NC,10/12/2013 2:01,1,SUV/ Crossover,Store or gas station,Own home,10-Jun,No,36.0,28152.0,9th - 11th grade,Employed Part-time,#NULL!
3,NC,10/12/2013 2:18,1,SUV/ Crossover,Other,Own home,More than 20,,56.0,28150.0,High school graduate,On Disability,0
3,NC,10/12/2013 2:48,#NULL!,Car,,,,,,,,,#NULL!
3,NC,10/12/2013 1:32,#NULL!,,,,,,,,,,#NULL!
4,NC,10/12/2013 22:20,1,Car,Other,Own home,More than 20,,51.0,28150.0,High school graduate,Employed Full-time,0
4,NC,10/12/2013 22:36,1,Car,Work,Own home,0-5,No,21.0,28152.0,Associate's degree,Employed Full-time,0
4,NC,10/12/2013 22:54,2,Car,"Bar, tavern, club",Own home,More than 20,No,49.0,28052.0,High school graduate,Employed Full-time,0
4,NC,10/12/2013 23:14,1,Car,Other,Other,More than 20,,80.0,28150.0,High school graduate,Retired,#NULL!
4,NC,10/12/2013 23:32,2,Car,Someone else's home,Own home,20-Nov,Yes,23.0,28017.0,Bachelor's degree,Employed Full-time,0
4,NC,10/12/2013 23:49,2,Car,Other,Own home,10-Jun,No,28.0,28510.0,Some college - no degree,Employed Full-time,#NULL!
4,NC,10/13/2013 0:06,2,Car,Work,Own home,20-Nov,,35.0,28510.0,Bachelor's degree,Employed Full-time,0
5,NC,10/13/2013 1:20,2,Car,Other,Own home,More than 20,,31.0,28227.0,High school graduate,Employed Full-time,#NULL!
5,NC,10/13/2013 1:38,3,Car,Work,Own home,More than 20,,20.0,27513.0,Some college - no degree,Employed Part-time,0
5,NC,10/13/2013 2:06,3,Car,Someone else's home,Own home,More than 20,Yes,35.0,28262.0,Some college - no degree,Employed Part-time,#NULL!
5,NC,10/13/2013 2:32,1,Pickup,Other,Own home,More than 20,,42.0,28086.0,9th - 11th grade,Employed Full-time,#NULL!
5,NC,10/13/2013 2:59,1,Pickup,Other,Own home,More than 20,,62.0,28055.0,Did not answer,Retired,0
1,NC,3/28/2014 10:39,1,SUV/ Crossover,Own home,Work,10-Jun,No,30.0,27407.0,Bachelor's degree,Employed Part-time,0
1,NC,3/28/2014 10:51,2,Car,Store or gas station,Own home,0-5,,27.0,27407.0,Some college - no degree,Unemployed,0
1,NC,3/28/2014 11:04,2,SUV/ Crossover,Someone else's home,Work,0-5,,32.0,27401.0,9th - 11th grade,Employed Part-time,0
1,NC,3/28/2014 11:19,2,Car,Own home,Work,20-Nov,,25.0,27407.0,Bachelor's degree,Unemployed,0
1,NC,3/28/2014 11:34,1,Car,Own home,Own home,0-5,,66.0,27407.0,9th - 11th grade,On Disability,0
1,NC,3/28/2014 11:49,1,Van,Own home,Store or gas station,0-5,,55.0,27407.0,High school graduate,Unemployed,0
2,NC,3/28/2014 23:18,7,Car,Someone else's home,"Bar, tavern, club",0-5,,21.0,27403.0,High school graduate,Employed Full-time,#NULL!
2,NC,3/28/2014 23:35,2,Car,Own home,Own home,10-Jun,No,70.0,27407.0,Some college - no degree,Retired,0
2,NC,3/29/2014 0:01,2,Van,Other,Own home,0-5,,34.0,27045.0,9th - 11th grade,Unemployed,0
2,NC,3/29/2014 0:24,2,SUV/ Crossover,Work,Own home,0-5,No,22.0,27407.0,Some college - no degree,Employed Full-time,0
3,NC,3/29/2014 1:53,2,Car,Work,Own home,10-Jun,No,27.0,27405.0,High school graduate,Employed Full-time,#NULL!
3,NC,3/29/2014 2:17,2,Car,Restaurant/eating place,Own home,0-5,No,32.0,27409.0,High school graduate,Unemployed,0
3,NC,3/29/2014 2:32,2,Car,Other,Store or gas station,10-Jun,No,25.0,27401.0,Some college - no degree,Employed Full-time,0
3,NC,3/29/2014 2:54,2,Car,"Bar, tavern, club",Own home,10-Jun,No,23.0,27360.0,Associate's degree,Employed Part-time,0.077
3,NC,3/29/2014 3:11,2,Car,Someone else's home,Someone else's home,10-Jun,No,35.0,27406.0,Associate's degree,Unemployed,0
4,NC,3/29/2014 22:22,2,Car,Restaurant/eating place,School/church,10-Jun,,19.0,27406.0,Some college - no degree,Employed Part-time,#NULL!
4,NC,3/29/2014 22:39,2,Car,Own home,"Bar, tavern, club",10-Jun,No,21.0,27406.0,Some college - no degree,Employed Full-time,0
4,NC,3/29/2014 22:59,2,Car,Own home,Other,20-Nov,No,21.0,27405.0,Some college - no degree,Employed Part-time,0
4,NC,3/29/2014 23:15,2,SUV/ Crossover,Someone else's home,Own home,10-Jun,No,30.0,27406.0,High school graduate,Employed Full-time,0
4,NC,3/29/2014 23:34,2,Minivan,School/church,Own home,More than 20,,47.0,27249.0,Some college - no degree,Unemployed,0
4,NC,3/29/2014 23:47,2,Car,Someone else's home,Someone else's home,0-5,No,21.0,27110.0,Some college - no degree,Employed Part-time,0
4,NC,3/29/2014 23:59,2,Car,Work,Own home,0-5,No,20.0,27403.0,Some college - no degree,Employed Part-time,#NULL!
4,NC,3/30/2014 0:09,2,Car,Work,Own home,0-5,,34.0,27401.0,9th - 11th grade,Employed Part-time,0
5,NC,3/30/2014 2:10,2,SUV/ Crossover,Other,Own home,More than 20,No,27.0,27604.0,Bachelor's degree,Employed Full-time,#NULL!
5,NC,3/30/2014 2:30,2,Car,"Bar, tavern, club",Own home,0-5,No,25.0,27405.0,Associate's degree,Employed Full-time,0.038
5,NC,3/30/2014 3:08,3,Car,Own home,Someone else's home,10-Jun,,20.0,27406.0,Some college - no degree,Employed Full-time,#NULL!
1,NJ,1/31/2014 9:46,2,Car,Work,Own home,0-5,,33.0,8104.0,High school graduate,Employed Part-time,0
1,NJ,1/31/2014 10:09,2,Car,Store or gas station,Own home,0-5,No,57.0,8102.0,Associate's degree,Retired,0
1,NJ,1/31/2014 10:27,2,Minivan,Store or gas station,Store or gas station,0-5,,40.0,8103.0,Some college - no degree,Employed Full-time,0
1,NJ,1/31/2014 10:42,2,Car,Store or gas station,Store or gas station,0-5,,55.0,8103.0,High school graduate,Unemployed,0
1,NJ,1/31/2014 11:00,2,Car,Own home,Store or gas station,More than 20,No,47.0,8081.0,High school graduate,Employed Part-time,0
1,NJ,1/31/2014 11:13,7,Car,Own home,Own home,0-5,,22.0,8104.0,High school graduate,Employed Part-time,0
1,NJ,1/31/2014 11:28,2,SUV/ Crossover,Store or gas station,School/church,0-5,,64.0,8103.0,Some college - no degree,Retired,0
2,NJ,1/31/2014 23:04,1,Car,Work,Own home,10-Jun,No,22.0,8071.0,Bachelor's degree,Employed Part-time,#NULL!
2,NJ,1/31/2014 23:34,2,Car,Own home,Own home,0-5,,35.0,8105.0,Some college - no degree,Employed Full-time,0
2,NJ,1/31/2014 23:47,2,Car,Own home,Own home,0-5,No,21.0,8107.0,Some college - no degree,Employed Part-time,0
2,NJ,1/31/2014 23:57,1,Car,Own home,Someone else's home,10-Jun,No,20.0,8065.0,Associate's degree,Employed Part-time,0
3,NJ,2/1/2014 2:01,1,SUV/ Crossover,Work,Own home,More than 20,,23.0,8002.0,Some college - no degree,Employed Full-time,0
4,NJ,2/1/2014 22:23,3,Car,Work,Own home,More than 20,No,27.0,8053.0,Bachelor's degree,Employed Full-time,#NULL!
4,NJ,2/1/2014 22:44,1,Car,Work,Own home,20-Nov,No,31.0,8096.0,Bachelor's degree,Employed Full-time,#NULL!
4,NJ,2/1/2014 23:02,2,Car,School/church,Work,More than 20,,26.0,8103.0,Associate's degree,Unemployed,0
4,NJ,2/1/2014 23:35,4,Car,"Bar, tavern, club",Own home,0-5,No,35.0,8110.0,Master's degree,Employed Full-time,0
4,NJ,2/2/2014 0:06,2,Car,Own home,Someone else's home,20-Nov,,22.0,8021.0,High school graduate,Employed Full-time,0
5,NJ,2/2/2014 2:13,1,Car,Sport or rec facility/park,Own home,More than 20,,31.0,8109.0,Associate's degree,Employed Full-time,0
5,NJ,2/2/2014 2:39,2,Minivan,Someone else's home,Own home,20-Nov,No,26.0,8109.0,Some college - no degree,Employed Full-time,0
1,NY,9/20/2013 13:47,8,Car,Own home,Work,More than 20,No,21.0,12307.0,High school graduate,Employed Full-time,0
1,NY,9/20/2013 14:03,2,Minivan,Own home,Work,20-Nov,No,60.0,12304.0,High school graduate,Employed Part-time,#NULL!
1,NY,9/20/2013 14:17,1,Car,School/church,Own home,20-Nov,No,33.0,12304.0,Master's degree,Employed Full-time,#NULL!
1,NY,9/20/2013 14:21,#NULL!,Car,,,,,,,,,#NULL!
1,NY,9/20/2013 14:26,#NULL!,Motorcycle,,,,,,,,,#NULL!
1,NY,9/20/2013 14:34,#NULL!,Motorcycle,,,,,,,,,#NULL!
1,NY,9/20/2013 14:45,3,SUV/ Crossover,Store or gas station,Store or gas station,10-Jun,,62.0,12542.0,Associate's degree,Employed Full-time,#NULL!
1,NY,9/20/2013 14:59,2,Car,School/church,Own home,More than 20,No,52.0,12206.0,High school graduate,Employed Full-time,#NULL!
1,NY,9/20/2013 15:04,#NULL!,Car,,,,,,,,,#NULL!
1,NY,9/20/2013 15:14,1,Pickup,Work,Own home,More than 20,No,40.0,1201.0,Some college - no degree,Employed Full-time,#NULL!
1,NY,9/20/2013 15:24,3,Car,Work,Work,10-Jun,No,29.0,12304.0,Master's degree,Employed Full-time,#NULL!
3,NY,9/21/2013 1:09,#NULL!,Car,,,,,,,,,#NULL!
3,NY,9/21/2013 1:25,2,Car,Work,Own home,10-Jun,,46.0,12306.0,Associate's degree,Employed Full-time,0
3,NY,9/21/2013 1:31,#NULL!,Car,,,,,,,,,#NULL!
3,NY,9/21/2013 1:50,1,Car,Work,Own home,0-5,No,22.0,12303.0,High school graduate,Employed Full-time,0.031
3,NY,9/21/2013 2:05,2,Car,Work,Own home,20-Nov,,20.0,12308.0,Some college - no degree,Employed Full-time,#NULL!
3,NY,9/21/2013 2:19,1,Car,Work,Own home,0-5,No,41.0,12306.0,9th - 11th grade,Employed Full-time,#NULL!
3,NY,9/21/2013 2:37,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,NY,9/21/2013 2:55,1,Minivan,Work,Own home,More than 20,,51.0,12149.0,Associate's degree,Employed Full-time,#NULL!
4,NY,9/21/2013 22:13,7,Van,Own home,Work,20-Nov,No,49.0,12306.0,High school graduate,Employed Full-time,#NULL!
4,NY,9/21/2013 22:31,1,Car,Own home,Someone else's home,0-5,No,18.0,12306.0,High school graduate,Unemployed,#NULL!
4,NY,9/21/2013 22:47,1,Car,School/church,Someone else's home,0-5,No,18.0,12308.0,High school graduate,Employed Part-time,#NULL!
4,NY,9/21/2013 23:10,1,Car,Someone else's home,Own home,More than 20,,27.0,12302.0,Bachelor's degree,Employed Full-time,#NULL!
5,NY,9/22/2013 2:53,3,Car,Someone else's home,Restaurant/eating place,10-Jun,Yes,22.0,8080.0,Bachelor's degree,Unemployed,#NULL!
1,OH,8/2/2013 13:40,#NULL!,Pickup,,,,,,,,,#NULL!
1,OH,8/2/2013 13:52,1,SUV/ Crossover,Work,Work,More than 20,No,29.0,45365.0,Master's degree,Employed Full-time,#NULL!
1,OH,8/2/2013 14:06,1,SUV/ Crossover,Own home,Someone else's home,0-5,No,63.0,43311.0,High school graduate,Retired,#NULL!
1,OH,8/2/2013 14:29,1,Car,Own home,Someone else's home,10-Jun,No,74.0,43311.0,High school graduate,Retired,#NULL!
1,OH,8/2/2013 14:37,#NULL!,Car,,,,,,,,,#NULL!
